City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Ulladulla,AU,2021-08-08 18:15:00,-35.35,150.4667,46.09,67,92,4.12,overcast clouds
1,Hilo,US,2021-08-08 18:14:28,19.7297,-155.09,76.73,78,90,4.61,overcast clouds
2,Kirensk,RU,2021-08-08 18:15:01,57.7853,108.1119,51.39,76,93,1.03,overcast clouds
3,Clyde River,CA,2021-08-08 18:15:01,70.4692,-68.5914,47.16,54,28,10.63,scattered clouds
4,Lebu,CL,2021-08-08 18:15:02,-37.6167,-73.65,50.41,65,42,9.28,scattered clouds
5,Ushuaia,AR,2021-08-08 18:12:53,-54.8,-68.3,42.46,61,40,6.91,scattered clouds
6,Jieshi,CN,2021-08-08 18:15:03,22.8134,115.8257,82.0,91,98,8.7,light rain
7,Butaritari,KI,2021-08-08 18:15:03,3.0707,172.7902,82.65,64,21,10.2,few clouds
8,Berlevag,NO,2021-08-08 18:15:04,70.8578,29.0864,69.8,63,29,9.44,scattered clouds
9,Cherskiy,RU,2021-08-08 18:15:04,68.75,161.3,50.29,54,30,1.7,scattered clouds
10,Tiksi,RU,2021-08-08 18:15:06,71.6872,128.8694,44.76,88,9,5.48,clear sky
11,Olafsvik,IS,2021-08-08 18:15:06,64.8945,-23.7142,57.56,78,100,7.18,overcast clouds
12,Celestun,MX,2021-08-08 18:15:07,20.8667,-90.4,88.56,60,4,10.6,clear sky
13,Busselton,AU,2021-08-08 18:15:07,-33.65,115.3333,55.09,80,42,23.58,scattered clouds
14,Cayenne,GF,2021-08-08 18:15:07,4.9333,-52.3333,87.1,78,75,5.01,broken clouds
15,Vrangel,RU,2021-08-08 18:15:08,42.7297,133.0839,67.51,85,100,7.0,overcast clouds
16,Dikson,RU,2021-08-08 18:15:08,73.5069,80.5464,47.82,73,3,5.64,clear sky
17,Kapaa,US,2021-08-08 18:15:09,22.0752,-159.319,80.92,68,90,1.01,overcast clouds
18,Roald,NO,2021-08-08 18:15:09,62.5833,6.1333,69.85,77,0,8.05,clear sky
19,Isiro,CD,2021-08-08 18:15:09,2.7739,27.616,67.68,97,96,0.98,overcast clouds
20,Nanortalik,GL,2021-08-08 18:15:10,60.1432,-45.2371,44.69,84,71,14.12,broken clouds
21,Punta Arenas,CL,2021-08-08 18:15:10,-53.15,-70.9167,42.91,70,75,18.41,broken clouds
22,Gorontalo,ID,2021-08-08 18:15:10,0.5412,123.0595,73.76,95,82,2.3,light rain
23,Alice Springs,AU,2021-08-08 18:15:10,-23.7,133.8833,36.95,48,0,3.44,clear sky
24,Avarua,CK,2021-08-08 18:15:11,-21.2078,-159.775,69.85,88,75,1.14,broken clouds
25,Ammon,US,2021-08-08 18:15:11,43.4696,-111.9666,84.25,27,1,3.0,clear sky
26,Albany,US,2021-08-08 18:14:15,42.6001,-73.9662,87.13,61,41,3.51,scattered clouds
27,Tuktoyaktuk,CA,2021-08-08 18:15:11,69.4541,-133.0374,43.92,77,100,10.02,overcast clouds
28,Pevek,RU,2021-08-08 18:15:12,69.7008,170.3133,37.24,82,86,8.37,overcast clouds
29,Sao Filipe,CV,2021-08-08 18:15:12,14.8961,-24.4956,80.15,77,19,7.92,few clouds
30,Yellowknife,CA,2021-08-08 18:14:39,62.456,-114.3525,51.98,47,65,10.04,broken clouds
31,Lavrentiya,RU,2021-08-08 18:15:12,65.5833,-171.0,43.14,85,99,14.2,overcast clouds
32,Mandera,KE,2021-08-08 18:15:13,3.9366,41.867,87.37,32,79,11.07,broken clouds
33,Naze,JP,2021-08-08 18:15:13,28.3667,129.4833,78.08,87,42,15.39,scattered clouds
34,Saint-Philippe,RE,2021-08-08 18:15:13,-21.3585,55.7679,69.39,84,27,7.34,light rain
35,Mokhotlong,LS,2021-08-08 18:15:14,-29.2894,29.0675,44.53,21,3,4.38,clear sky
36,Sioux Lookout,CA,2021-08-08 18:11:41,50.1001,-91.917,66.27,82,90,5.75,overcast clouds
37,Hofn,IS,2021-08-08 18:15:14,64.2539,-15.2082,57.34,73,35,5.64,scattered clouds
38,Kirakira,SB,2021-08-08 18:15:14,-10.4544,161.9205,77.07,86,94,5.93,overcast clouds
39,Camacha,PT,2021-08-08 18:15:15,33.0833,-16.3333,72.54,64,40,12.66,scattered clouds
40,Khatanga,RU,2021-08-08 18:15:15,71.9667,102.5,53.74,62,97,14.27,overcast clouds
41,Kashi,CN,2021-08-08 18:15:15,39.4547,75.9797,85.26,28,71,0.63,broken clouds
42,Massaguet,TD,2021-08-08 18:15:16,12.4755,15.4365,79.56,76,77,13.42,heavy intensity rain
43,Codrington,AU,2021-08-08 18:15:16,-38.2667,141.9667,45.46,75,88,9.44,overcast clouds
44,Mar Del Plata,AR,2021-08-08 18:15:17,-38.0023,-57.5575,48.02,63,100,10.25,light rain
45,Hazorasp,UZ,2021-08-08 18:15:18,41.3194,61.0742,76.84,12,0,14.27,clear sky
46,Grindavik,IS,2021-08-08 18:15:19,63.8424,-22.4338,64.35,72,0,18.41,clear sky
47,Georgetown,MY,2021-08-08 18:15:10,5.4112,100.3354,82.89,82,20,0.0,moderate rain
48,Crossville,US,2021-08-08 18:15:19,35.949,-85.0269,84.15,61,1,1.01,clear sky
49,Oranjestad,AW,2021-08-08 18:12:56,12.524,-70.027,89.55,58,40,16.11,scattered clouds
50,Jamestown,US,2021-08-08 18:14:16,42.097,-79.2353,83.3,60,40,5.99,scattered clouds
51,Rikitea,PF,2021-08-08 18:15:19,-23.1203,-134.9692,74.16,75,48,11.5,scattered clouds
52,Det Udom,TH,2021-08-08 18:15:20,14.906,105.0784,79.74,87,97,4.72,overcast clouds
53,Mataura,NZ,2021-08-08 18:15:20,-46.1927,168.8643,34.48,98,97,3.78,overcast clouds
54,Isangel,VU,2021-08-08 18:15:21,-19.55,169.2667,69.03,76,96,12.06,overcast clouds
55,Mount Isa,AU,2021-08-08 18:15:21,-20.7333,139.5,46.17,53,0,0.0,clear sky
56,Bambous Virieux,MU,2021-08-08 18:14:42,-20.3428,57.7575,69.22,93,96,19.42,moderate rain
57,Ipixuna,BR,2021-08-08 18:15:22,-1.7625,-48.8043,87.75,41,29,2.06,scattered clouds
58,Tuatapere,NZ,2021-08-08 18:15:22,-46.1333,167.6833,34.83,84,97,6.62,overcast clouds
59,Cape Town,ZA,2021-08-08 18:12:37,-33.9258,18.4232,58.1,90,100,5.99,heavy intensity rain
60,Atuona,PF,2021-08-08 18:14:51,-9.8,-139.0333,77.27,80,86,19.1,light rain
61,Kodiak,US,2021-08-08 18:14:43,57.79,-152.4072,56.71,88,90,8.05,light rain
62,Jinka,ET,2021-08-08 18:15:23,5.65,36.65,69.96,56,94,1.12,overcast clouds
63,Saint George,US,2021-08-08 18:15:23,37.1041,-113.5841,99.07,17,1,1.99,clear sky
64,Soyo,AO,2021-08-08 18:15:23,-6.1349,12.3689,73.67,77,29,5.77,scattered clouds
65,Kaitangata,NZ,2021-08-08 18:15:24,-46.2817,169.8464,36.07,90,84,8.93,broken clouds
66,Chokurdakh,RU,2021-08-08 18:15:24,70.6333,147.9167,51.31,69,90,8.3,overcast clouds
67,Kruisfontein,ZA,2021-08-08 18:15:24,-34.0033,24.7314,57.88,84,90,7.38,overcast clouds
68,Airai,TL,2021-08-08 18:15:25,-8.9266,125.4092,54.3,88,38,1.66,scattered clouds
69,Upernavik,GL,2021-08-08 18:15:25,72.7868,-56.1549,41.16,88,91,4.74,overcast clouds
70,Verkh-Chebula,RU,2021-08-08 18:15:26,56.0308,87.6218,60.22,87,68,2.84,broken clouds
