City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pitimbu,BR,2021-08-06 20:19:46,-7.4706,-34.8086,79.39,75,50,17.49
1,Miri,MY,2021-08-06 20:19:46,4.4148,114.0089,77.14,94,20,2.3
2,Hermanus,ZA,2021-08-06 20:19:46,-34.4187,19.2345,53.91,82,0,5.66
3,Kruisfontein,ZA,2021-08-06 20:19:47,-34.0033,24.7314,50.88,91,7,3.2
4,Avarua,CK,2021-08-06 20:19:47,-21.2078,-159.775,77.05,78,20,10.36
5,Siemiatycze,PL,2021-08-06 20:19:47,52.4272,22.8623,61.25,98,100,13.42
6,Talnakh,RU,2021-08-06 20:19:48,69.4865,88.3972,63.86,41,22,1.74
7,Hilo,US,2021-08-06 20:16:09,19.7297,-155.09,78.53,84,90,8.05
8,Tiznit,MA,2021-08-06 20:19:48,29.5833,-9.5,68.67,76,0,4.97
9,Taltal,CL,2021-08-06 20:19:48,-25.4,-70.4833,61.75,66,23,7.38
10,Zyrardow,PL,2021-08-06 20:19:49,52.0488,20.446,58.8,100,100,16.6
11,Mataura,NZ,2021-08-06 20:19:49,-46.1927,168.8643,39.47,96,100,4.97
12,Rikitea,PF,2021-08-06 20:19:49,-23.1203,-134.9692,74.68,74,26,14.18
13,Cockburn Town,TC,2021-08-06 20:19:49,21.4612,-71.1419,82.76,76,3,14.05
14,Ushuaia,AR,2021-08-06 20:15:16,-54.8,-68.3,37.06,56,20,24.16
15,Nishihara,JP,2021-08-06 20:19:50,26.1842,127.7558,82.06,89,40,14.97
16,Saint George,US,2021-08-06 20:19:50,37.1041,-113.5841,104.63,8,1,8.99
17,Vaini,TO,2021-08-06 20:19:50,-21.2,-175.2,73.56,83,20,11.5
18,Fort Nelson,CA,2021-08-06 20:19:51,58.8053,-122.7002,67.59,77,90,8.05
19,Champerico,GT,2021-08-06 20:19:51,14.3,-91.9167,93.74,67,73,6.26
20,Hualmay,PE,2021-08-06 20:19:51,-11.0964,-77.6139,68.09,70,13,12.93
21,Tuatapere,NZ,2021-08-06 20:19:51,-46.1333,167.6833,39.81,87,100,11.56
22,Shenzhen,CN,2021-08-06 20:19:52,22.5455,114.0683,85.1,98,100,3.36
23,Punta Arenas,CL,2021-08-06 20:19:52,-53.15,-70.9167,37.42,72,40,28.77
24,Khani,GE,2021-08-06 20:19:52,41.9563,42.9566,69.37,44,100,6.35
25,Xifeng,CN,2021-08-06 20:19:53,42.7372,124.7222,65.03,93,83,4.03
26,East London,ZA,2021-08-06 20:19:53,-33.0153,27.9116,62.01,75,57,8.59
27,Cape Town,ZA,2021-08-06 20:19:53,-33.9258,18.4232,54.12,82,0,2.71
28,Cayenne,GF,2021-08-06 20:15:16,4.9333,-52.3333,86.04,79,9,3.0
29,Chuy,UY,2021-08-06 20:19:54,-33.6971,-53.4616,62.28,84,84,6.93
30,Jamestown,US,2021-08-06 20:15:18,42.097,-79.2353,84.18,50,75,12.66
31,Kaukauna,US,2021-08-06 20:19:54,44.278,-88.272,84.52,73,75,3.0
32,Marzuq,YE,2021-08-06 20:19:54,14.4,46.4667,83.79,47,83,5.7
33,Mahebourg,MU,2021-08-06 20:19:54,-20.4081,57.7,70.09,73,75,13.8
34,Puerto Ayora,EC,2021-08-06 20:19:55,-0.7393,-90.3518,76.96,86,78,11.01
35,Mar Del Plata,AR,2021-08-06 20:19:18,-38.0023,-57.5575,61.09,94,0,1.99
36,Butaritari,KI,2021-08-06 20:19:55,3.0707,172.7902,83.57,65,2,12.8
37,Victoria,HK,2021-08-06 20:15:45,22.2855,114.1577,85.21,91,98,1.99
38,Vestmannaeyjar,IS,2021-08-06 20:19:55,63.4427,-20.2734,54.59,87,75,5.75
39,Ibra,OM,2021-08-06 20:19:56,22.6906,58.5334,90.72,39,0,5.7
40,Albany,US,2021-08-06 20:15:16,42.6001,-73.9662,89.02,46,8,1.01
41,Port Blair,IN,2021-08-06 20:19:56,11.6667,92.75,81.81,83,100,19.13
42,Caravelas,BR,2021-08-06 20:19:56,-17.7125,-39.2481,68.72,81,79,9.19
43,Pyshma,RU,2021-08-06 20:19:57,56.9523,63.2513,61.02,73,100,9.75
44,Bluff,NZ,2021-08-06 20:19:57,-46.6,168.3333,39.79,76,100,22.37
45,Kapaa,US,2021-08-06 20:19:57,22.0752,-159.319,82.72,78,75,5.01
46,Chokurdakh,RU,2021-08-06 20:19:57,70.6333,147.9167,44.15,83,94,7.34
47,Sheridan,US,2021-08-06 20:19:58,44.8333,-106.9173,88.29,23,73,12.26
48,Te Anau,NZ,2021-08-06 20:19:58,-45.4167,167.7167,38.03,92,94,4.72
49,Marawi,PH,2021-08-06 20:19:58,7.9986,124.2928,67.64,90,100,3.6
50,Codrington,AU,2021-08-06 20:19:58,-38.2667,141.9667,49.37,91,100,9.26
51,Mollendo,PE,2021-08-06 20:19:59,-17.0231,-72.0147,63.77,75,43,7.18
52,Dikson,RU,2021-08-06 20:19:59,73.5069,80.5464,47.84,88,100,11.74
53,Pisco,PE,2021-08-06 20:19:59,-13.7,-76.2167,66.25,68,0,8.05
54,Kaeo,NZ,2021-08-06 20:20:00,-35.1,173.7833,55.33,83,62,12.62
55,Ntoum,GA,2021-08-06 20:20:00,0.3833,9.7833,78.57,83,36,6.42
56,Lebu,CL,2021-08-06 20:20:00,-37.6167,-73.65,50.23,89,100,4.76
57,Hobart,AU,2021-08-06 20:20:00,-42.8794,147.3294,50.02,78,75,3.0
58,Manta,EC,2021-08-06 20:20:01,-0.95,-80.7333,80.38,69,20,13.8
59,Shitanjing,CN,2021-08-06 20:20:01,39.2342,106.3439,67.48,40,0,6.55
60,Anadyr,RU,2021-08-06 20:20:01,64.75,177.4833,50.5,93,40,8.01
61,Hasaki,JP,2021-08-06 20:20:02,35.7333,140.8333,79.2,89,42,7.02
62,Kortkeros,RU,2021-08-06 20:20:02,61.8106,51.5806,51.8,79,81,4.34
63,Gat,IL,2021-08-06 20:20:03,31.61,34.7642,88.39,43,0,4.25
64,Grand Gaube,MU,2021-08-06 20:20:03,-20.0064,57.6608,70.2,76,33,7.0
65,Christchurch,NZ,2021-08-06 20:16:49,-43.5333,172.6333,44.02,93,40,4.0
66,Provideniya,RU,2021-08-06 20:20:04,64.3833,-173.3,48.11,90,100,2.48
